Test Time / s,Voltage / V,Current / A,Unix Time / s,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Protocol Name / 1,Step Type / 1,Maximum Cell Temperature / degC,External Temperature / degC,data_point,step_time
262479.99999999994,2.46974705344808,-0.0,262480.0,2,1,0.0,0.0,A with temperature: 15,rest,22.5381031487936,15,554,0.0
262540.0000000001,2.49357415558334,-0.0,262540.0,2,1,0.0,0.0,A with temperature: 15,rest,20.6317271195229,15,555,60.00000000017462
262599.9999999998,2.5096723745317,-0.0,262600.0,2,1,0.0,0.0,A with temperature: 15,rest,19.2032275758423,15,556,119.99999999988358
262659.99999999994,2.52131558111992,-0.0,262660.0,2,1,0.0,0.0,A with temperature: 15,rest,18.1361388175032,15,557,180.0
262720.0000000001,2.53011020199044,-0.0,262720.0,2,1,0.0,0.0,A with temperature: 15,rest,17.3398256964039,15,558,240.00000000017462
262779.9999999998,2.53694541402983,-0.0,262780.0,2,1,0.0,0.0,A with temperature: 15,rest,16.7457590162617,15,559,299.9999999998836
262840.0,2.54236238879332,-0.0,262840.0,2,1,0.0,0.0,A with temperature: 15,rest,16.3026097439071,15,560,360.0000000000582
262900.00000000006,2.54671524163399,-0.0,262900.0,2,1,0.0,0.0,A with temperature: 15,rest,15.9720427497539,15,561,420.0000000001164
262960.0000000002,2.55024873093765,-0.0,262960.0,2,1,0.0,0.0,A with temperature: 15,rest,15.725453456681,15,562,480.00000000023283
263019.99999999994,2.55313921160654,-0.0,263020.0,2,1,0.0,0.0,A with temperature: 15,rest,15.5415036713875,15,563,540.0
263080.00000000006,2.55551760343572,-0.0,263080.0,2,1,0.0,0.0,A with temperature: 15,rest,15.4042767759353,15,564,600.0000000001164
263139.9999999999,2.55748430127663,-0.0,263140.0,2,1,0.0,0.0,A with temperature: 15,rest,15.3019011180948,15,565,659.9999999999418
263199.99999999994,2.55911700340894,-0.0,263200.0,2,1,0.0,0.0,A with temperature: 15,rest,15.2255215324552,15,566,720.0
263260.00000000006,2.56047697699527,-0.0,263260.0,2,1,0.0,0.0,A with temperature: 15,rest,15.1685330594325,15,567,780.0000000001164
