Test Time / h,Current / A,Voltage / V,Protocol Name / 1,Step Type / 1,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Maximum Cell Temperature / degC,External Temperature / degC
81.54444444,0,3.456691157,A with temperature: 25,rest,3,1,0,0,25.03565409,25
81.56111111,0,3.456556617,A with temperature: 25,rest,3,1,0,0,25.0265962,25
81.57777778,0,3.456461235,A with temperature: 25,rest,3,1,0,0,25.01983862,25
81.59444444,0,3.456392781,A with temperature: 25,rest,3,1,0,0,25.01479757,25
81.61111111,0,3.456343149,A with temperature: 25,rest,3,1,0,0,25.01103722,25
81.62777778,0,3.45630684,A with temperature: 25,rest,3,1,0,0,25.0082323,25
81.64444444,0,3.456280062,A with temperature: 25,rest,3,1,0,0,25.0061401,25
81.66111111,0,3.456260159,A with temperature: 25,rest,3,1,0,0,25.00457956,25
81.67777778,0.06055158,3.34607828,A with temperature: 25,discharge,3,2,0,0,25.04238199,25
81.69444444,0.06055158,3.33176738,A with temperature: 25,discharge,3,2,0,0.001009193,25.06127691,25
81.71111111,0.06055158,3.324209279,A with temperature: 25,discharge,3,2,0,0.002018386,25.06945425,25
81.72777778,0.06055158,3.316938911,A with temperature: 25,discharge,3,2,0,0.003027579,25.07565181,25
81.74444444,0.06055158,3.310921888,A with temperature: 25,discharge,3,2,0,0.004036772,25.08491699,25
81.76111111,0.06055158,3.305623328,A with temperature: 25,discharge,3,2,0,0.005045965,25.09666129,25
81.77777778,0.06055158,3.300562155,A with temperature: 25,discharge,3,2,0,0.006055158,25.10990064,25
81.79444444,0.06055158,3.295673688,A with temperature: 25,discharge,3,2,0,0.007064351,25.12404286,25
81.81111111,0.06055158,3.290920413,A with temperature: 25,discharge,3,2,0,0.008073544,25.13869256,25
81.82777778,0.06055158,3.286277221,A with temperature: 25,discharge,3,2,0,0.009082737,25.15358608,25
81.84444444,0.06055158,3.281643951,A with temperature: 25,discharge,3,2,0,0.01009193,25.16855036,25
81.86111111,0.06055158,3.276934894,A with temperature: 25,discharge,3,2,0,0.011101123,25.18340069,25
81.87777778,0.06055158,3.274749321,A with temperature: 25,discharge,3,2,0,0.012110316,25.1948698,25
81.89444444,0.06055158,3.273303572,A with temperature: 25,discharge,3,2,0,0.013119509,25.20326339,25
81.91111111,0.06055158,3.271869277,A with temperature: 25,discharge,3,2,0,0.014128702,25.2093416,25
81.92777778,0.06055158,3.270443814,A with temperature: 25,discharge,3,2,0,0.015137895,25.21368783,25
81.94444444,0.06055158,3.269025235,A with temperature: 25,discharge,3,2,0,0.016147088,25.21673699,25
81.96111111,0.06055158,3.267611987,A with temperature: 25,discharge,3,2,0,0.017156281,25.21881389,25
81.97777778,0.06055158,3.266202806,A with temperature: 25,discharge,3,2,0,0.018165474,25.22016367,25
