Test Time / h,Current / A,Voltage / V,Protocol Name / 1,Step Type / 1,Cycle Count / 1,Step Index / 1,Charge Capacity / Ah,Discharge Capacity / Ah,Maximum Cell Temperature / degC,External Temperature / degC
84.39444444,0,3.017597554,A with temperature: 35,rest,4,1,0,0,28.19944246,35
84.41111111,0,3.017973877,A with temperature: 35,rest,4,1,0,0,29.96670531,35
84.42777778,0,3.018378605,A with temperature: 35,rest,4,1,0,0,31.25202364,35
84.44444444,0,3.018791212,A with temperature: 35,rest,4,1,0,0,32.20651228,35
84.46111111,0,3.019198124,A with temperature: 35,rest,4,1,0,0,32.91763754,35
84.47777778,0,3.019590909,A with temperature: 35,rest,4,1,0,0,33.44783376,35
84.49444444,0,3.019964719,A with temperature: 35,rest,4,1,0,0,33.84319514,35
84.51111111,0,3.020317125,A with temperature: 35,rest,4,1,0,0,34.13801279,35
84.52777778,0,3.020647289,A with temperature: 35,rest,4,1,0,0,34.35784631,35
84.54444444,0,3.020955385,A with temperature: 35,rest,4,1,0,0,34.5217565,35
84.56111111,0,3.021242118,A with temperature: 35,rest,4,1,0,0,34.64395884,35
84.57777778,0,3.021508808,A with temperature: 35,rest,4,1,0,0,34.73505713,35
84.59444444,0,3.021756647,A with temperature: 35,rest,4,1,0,0,34.80295951,35
84.61111111,0,3.021986999,A with temperature: 35,rest,4,1,0,0,34.85356411,35
84.62777778,0,3.022201273,A with temperature: 35,rest,4,1,0,0,34.89127025,35
84.64444444,-0.06055158,3.195921627,A with temperature: 35,charge,4,2,0,0,34.91969088,35
84.66111111,-0.06055158,3.210832379,A with temperature: 35,charge,4,2,0.001009193,0,34.94448961,35
84.67777778,-0.06055158,3.223834707,A with temperature: 35,charge,4,2,0.002018386,0,34.96738957,35
84.69444444,-0.06055158,3.235735783,A with temperature: 35,charge,4,2,0.003027579,0,34.98877266,35
84.71111111,-0.06055158,3.246939641,A with temperature: 35,charge,4,2,0.004036772,0,35.00929887,35
84.72777778,-0.06055158,3.257662636,A with temperature: 35,charge,4,2,0.005045965,0,35.03028273,35
84.74444444,-0.06055158,3.267869361,A with temperature: 35,charge,4,2,0.006055158,0,35.04959044,35
